date,solar date,open,low,high,final,change,percent
2022/09/24,1401/07/02,307530,306660,309000,307330,5060,1.65%
2022/09/26,1401/07/04,307290,304420,307690,304790,2540,0.83%
2022/09/28,1401/07/06,302820,302700,309040,308330,3540,1.16%
2022/09/29,1401/07/07,307590,306930,310510,309960,1630,0.53%
2022/10/01,1401/07/09,312170,312130,325360,324760,14800,4.77%
2022/10/02,1401/07/10,324580,319280,326050,324970,210,0.06%
2022/10/03,1401/07/11,325350,323680,328380,325920,950,0.29%
2022/10/04,1401/07/12,329000,326790,330700,330450,4530,1.39%
2022/10/06,1401/07/14,327910,321110,328020,321110,9340,2.91%
2022/10/08,1401/07/16,318430,317350,319800,317920,3190,1%
2022/10/09,1401/07/17,317960,314730,317960,314890,3030,0.96%
2022/10/10,1401/07/18,314310,311200,317000,315050,160,0.05%
2022/10/11,1401/07/19,315460,315270,319900,319850,4800,1.52%
2022/10/12,1401/07/20,318140,315240,318490,316440,3410,1.08%
2022/10/13,1401/07/21,316490,315990,320840,318120,1680,0.53%
2022/10/15,1401/07/23,320410,318330,320410,318990,870,0.27%
2022/10/16,1401/07/24,319010,319010,322420,321990,3000,0.94%
2022/10/17,1401/07/25,321200,320070,323690,323570,1580,0.49%
2022/10/18,1401/07/26,321890,321090,323670,323510,60,0.02%
2022/10/19,1401/07/27,322770,320300,324160,320550,2960,0.92%
2022/10/20,1401/07/28,320920,318630,321230,320010,540,0.17%
2022/10/22,1401/07/30,322040,321930,324200,323230,3220,1.01%
2022/10/23,1401/08/01,323200,323110,324590,323770,540,0.17%
2022/10/24,1401/08/02,322620,320260,323820,323370,400,0.12%
2022/10/25,1401/08/03,322640,322640,328140,327260,3890,1.2%
2022/10/26,1401/08/04,328870,327160,330230,329900,2640,0.81%
2022/10/27,1401/08/05,329620,329620,333310,330400,500,0.15%
2022/10/29,1401/08/07,329480,328010,329810,328010,2390,0.73%
2022/10/30,1401/08/08,328140,327220,329010,328790,780,0.24%
2022/10/31,1401/08/09,327930,327890,330770,328640,150,0.05%
2022/11/01,1401/08/10,329660,329660,333390,330500,1860,0.57%
2022/11/02,1401/08/11,334640,330520,343310,341390,10890,3.3%
2022/11/03,1401/08/12,338620,337200,341310,340710,680,0.2%
2022/11/05,1401/08/14,351500,347710,368520,360690,19980,5.86%
2022/11/06,1401/08/15,359340,354970,361650,361350,660,0.18%
2022/11/07,1401/08/16,360390,358640,362320,362110,760,0.21%
2022/11/08,1401/08/17,361790,359220,367600,364760,2650,0.73%
2022/11/09,1401/08/18,364360,354610,364910,355070,9690,2.73%
2022/11/10,1401/08/19,353630,347750,354260,349290,5780,1.65%
2022/11/12,1401/08/21,363650,361220,364120,361940,12650,3.62%
2022/11/13,1401/08/22,361840,361060,368270,366990,5050,1.4%
2022/11/14,1401/08/23,365870,362170,370070,369690,2700,0.74%
2022/11/15,1401/08/24,371070,364730,371720,368860,830,0.23%
2022/11/16,1401/08/25,368630,367970,369680,369110,250,0.07%
2022/11/17,1401/08/26,370430,360580,370970,361360,7750,2.14%
2022/11/19,1401/08/28,361070,361070,365710,364680,100,0.03%
2022/11/20,1401/08/29,364570,362610,367470,364720,40,0.01%
2022/11/21,1401/08/30,362730,362730,366240,365710,990,0.27%
2022/11/22,1401/09/01,365900,361680,365900,365530,180,0.05%
2022/11/23,1401/09/02,367560,365510,368490,367150,1620,0.44%
2022/11/24,1401/09/03,369540,366510,370210,368110,960,0.26%
2022/11/26,1401/09/05,367920,367560,374500,374050,5940,1.61%
2022/11/27,1401/09/06,373960,370570,376660,371980,2070,0.56%
2022/11/28,1401/09/07,371920,371290,378210,372050,70,0.02%
2022/11/29,1401/09/08,371680,369350,372830,369800,2250,0.61%
2022/11/30,1401/09/09,364780,363750,369820,368110,1690,0.46%
2022/12/01,1401/09/10,373070,367530,376610,374760,6650,1.81%
2022/12/03,1401/09/12,377330,375190,379150,375540,780,0.21%
2022/12/04,1401/09/13,375430,374880,380310,379780,4240,1.13%
2022/12/05,1401/09/14,380410,378820,383250,379470,310,0.08%
2022/12/06,1401/09/15,378190,376770,379430,378220,1250,0.33%
2022/12/07,1401/09/16,375940,374850,380650,378820,600,0.16%
2022/12/08,1401/09/17,379690,379140,381280,381070,2250,0.59%
2022/12/10,1401/09/19,381470,381470,388460,388010,6940,1.82%
2022/12/11,1401/09/20,388330,387330,391720,391020,3010,0.78%
2022/12/12,1401/09/21,390510,390510,399330,397550,6530,1.67%
2022/12/13,1401/09/22,399140,398370,408940,408390,10840,2.73%
2022/12/14,1401/09/23,407320,402120,410120,404850,370,0.09%
2022/12/17,1401/09/26,407060,406500,415760,415250,10400,2.57%
2022/12/18,1401/09/27,415060,411100,416280,413220,2030,0.49%
2022/12/19,1401/09/28,414390,414100,418300,417750,4530,1.1%
2022/12/20,1401/09/29,418010,409580,418870,412620,5130,1.24%
2022/12/21,1401/09/30,412300,411580,419670,417370,4750,1.15%
2022/12/22,1401/10/01,418560,418560,421720,419750,2380,0.57%
2022/12/24,1401/10/03,418960,418960,428290,427910,8160,1.94%
2022/12/25,1401/10/04,428010,427470,434300,432150,4240,0.99%
2022/12/26,1401/10/05,432890,432890,442360,438150,6000,1.39%
2022/12/28,1401/10/07,439060,438980,468440,467550,29400,6.71%
2022/12/29,1401/10/08,463980,453530,467020,459290,5340,1.16%
2022/12/31,1401/10/10,461930,420620,461970,425420,33870,7.96%
2023/01/01,1401/10/11,427270,424030,441270,439970,14550,3.42%
2023/01/02,1401/10/12,438860,435190,438940,435270,4700,1.08%
2023/01/03,1401/10/13,435290,414960,435630,418320,16950,4.05%
2023/01/04,1401/10/14,419630,417860,425060,420790,2470,0.59%
2023/01/05,1401/10/15,416600,416240,425050,423150,2360,0.56%
2023/01/07,1401/10/17,425460,425460,439810,439190,16040,3.79%
2023/01/08,1401/10/18,439350,433850,445450,436280,2910,0.67%
2023/01/09,1401/10/19,439460,431230,440620,436600,320,0.07%
2023/01/10,1401/10/20,435500,435500,441760,437470,870,0.2%
2023/01/11,1401/10/21,438130,436040,441790,440770,3300,0.75%
2023/01/12,1401/10/22,441620,440290,443350,442850,2080,0.47%
2023/01/14,1401/10/24,444990,441850,444990,443260,410,0.09%
2023/01/15,1401/10/25,443510,441850,444340,444120,860,0.19%
2023/01/16,1401/10/26,444030,442600,445420,445260,1140,0.26%
2023/01/17,1401/10/27,449350,448440,455010,452750,7490,1.68%
2023/01/18,1401/10/28,453030,453030,468740,467370,14620,3.23%
2023/01/19,1401/10/29,466300,461400,466440,463520,3850,0.83%
2023/01/21,1401/11/01,465030,465030,487350,486810,23290,5.02%
2023/01/22,1401/11/02,488480,483020,493560,488100,1290,0.26%
2023/01/23,1401/11/03,489580,484670,492700,487380,720,0.15%
2023/01/24,1401/11/04,488400,473110,488400,474580,12800,2.7%
2023/01/25,1401/11/05,475250,465960,480960,476690,2110,0.44%
2023/01/26,1401/11/06,477710,476240,487750,485390,8700,1.83%
2023/01/28,1401/11/08,484370,475390,488430,476300,9090,1.91%
2023/01/29,1401/11/09,476160,475070,488430,487420,11120,2.33%
2023/01/30,1401/11/10,486710,482810,489670,484420,3000,0.62%
2023/01/31,1401/11/11,483740,480850,486040,485830,1410,0.29%
2023/02/01,1401/11/12,486620,483310,489180,488160,2330,0.48%
2023/02/02,1401/11/13,491970,491970,496360,495060,6900,1.41%
2023/02/05,1401/11/16,484440,479970,485350,482990,12070,2.5%
2023/02/06,1401/11/17,482950,481870,484950,482490,500,0.1%
2023/02/07,1401/11/18,482480,472340,482480,473330,9160,1.94%
2023/02/08,1401/11/19,474970,474970,479550,478100,4770,1.01%
2023/02/09,1401/11/20,478630,478440,485230,484260,6160,1.29%
2023/02/12,1401/11/23,480060,480060,491660,491440,7180,1.48%
2023/02/13,1401/11/24,492080,487020,492080,489080,2360,0.48%
2023/02/14,1401/11/25,489620,489620,495780,492220,3140,0.64%
2023/02/15,1401/11/26,491800,491190,506110,503820,11600,2.36%
2023/02/16,1401/11/27,505510,505510,511390,510010,6190,1.23%
2023/02/19,1401/11/30,509840,509830,525020,520210,10200,2%
2023/02/20,1401/12/01,520420,520420,530280,528210,8000,1.54%
2023/02/21,1401/12/02,527060,525220,528230,527430,780,0.15%
2023/02/22,1401/12/03,526790,526130,540780,537450,10020,1.9%
2023/02/23,1401/12/04,537840,537230,551530,549740,12290,2.29%
